chapter,comments,date
714,70,01/01/2017
715,70,01/01/2017
716,80,01/03/2017
717,129,01/05/2017
718,113,01/08/2017
719,73,01/09/2017
720,89,01/10/2017
721,74,01/11/2017
722,115,01/12/2017
723,79,01/13/2017
724,87,01/14/2017
725,154,01/14/2017
726,93,01/14/2017
727,119,01/14/2017
728,222,01/14/2017
729,134,01/14/2017
730,100,01/25/2017
731,92,01/26/2017
732,71,01/27/2017
733,0,01/29/2017
734,93,01/30/2017
735,118,02/02/2017
736,93,02/03/2017
737,89,02/04/2017
738,160,02/05/2017
739,71,02/07/2017
740,84,02/08/2017
741,85,02/10/2017
742,72,02/12/2017
743,59,02/13/2017
744,60,02/15/2017
745,83,02/16/2017
746,67,02/19/2017
747,92,02/21/2017
748,95,02/23/2017
749,69,02/25/2017
750,52,02/27/2017
751,89,02/28/2017
752,88,03/01/2017
753,114,03/07/2017
754,58,03/09/2017
755,49,03/11/2017
756,54,03/13/2017
757,45,03/13/2017
758,69,03/14/2017
759,65,03/17/2017
760,109,03/19/2017
761,73,03/21/2017
762,187,03/23/2017
763,128,03/23/2017
764,87,03/25/2017
765,50,03/26/2017
766,74,03/26/2017
767,62,03/30/2017
768,65,04/01/2017
769,68,04/03/2017
770,38,04/05/2017
771,62,04/08/2017
772,36,04/08/2017
773,66,04/09/2017
774,102,04/11/2017
775,82,04/13/2017
776,67,04/15/2017
777,80,04/16/2017
778,59,04/18/2017
779,71,04/20/2017
780,71,04/23/2017
781,93,04/23/2017
782,50,04/25/2017
783,35,04/26/2017
784,62,04/27/2017
785,40,04/28/2017
786,97,04/29/2017
787,57,05/02/2017
788,57,05/03/2017
789,62,05/04/2017
790,69,05/05/2017
791,99,05/06/2017
792,83,05/07/2017
793,77,05/08/2017
794,73,05/09/2017
795,90,05/10/2017
796,83,05/11/2017
797,64,05/13/2017
798,60,05/14/2017
799,46,05/15/2017
800,73,05/16/2017
801,81,05/17/2017
802,81,05/18/2017
803,80,05/19/2017
804,58,05/20/2017
805,0,05/20/2017
806,83,05/21/2017
807,97,05/21/2017
808,103,05/23/2017
809,148,05/23/2017
810,178,05/24/2017
811,124,05/26/2017
812,87,05/28/2017
813,62,05/28/2017
814,92,05/29/2017
815,120,05/31/2017
816,54,05/31/2017
817,83,05/31/2017
818,51,05/31/2017
819,85,06/03/2017
820,33,06/04/2017
821,42,06/04/2017
822,49,06/07/2017
823,25,06/07/2017
824,32,06/07/2017
825,59,06/07/2017
826,58,06/13/2017
827,24,06/13/2017
828,13,06/13/2017
829,74,06/13/2017
830,82,06/13/2017
831,37,06/13/2017
832,76,06/13/2017
833,181,06/13/2017
834,20,06/13/2017
835,41,06/13/2017
836,0,06/25/2017
837,24,06/25/2017
838,30,06/25/2017
839,86,06/25/2017
840,37,06/25/2017
